mes_referencia,vendedor_id,cd_id,meta_valor
2026-01,1,1,66637.45
2026-01,2,4,52389.68
2026-01,3,4,50731.14
2026-01,4,3,80351.38
2026-01,5,3,73426.2
2026-01,6,5,63423.93
2026-01,7,1,74928.4
2026-01,8,4,72869.93
2026-01,9,2,84195.06
2026-01,10,1,46835.27
2026-01,11,3,74759.42
2026-01,12,5,83078.55
2026-01,13,4,80444.07
2026-01,14,4,74888.54
2026-01,15,4,38768.89
2026-01,16,4,69184.73
2026-01,17,3,37696.24
2026-01,18,1,59667.7
2026-01,19,5,64683.99
2026-01,20,3,76324.44
2026-01,21,3,66634.59
2026-01,22,2,36572.85
2026-01,23,1,59386.34
2026-01,24,5,37267.61
2026-01,25,4,71953.71
2026-01,26,4,53936.27
2026-01,27,3,85677.84
2026-01,28,5,63257.86
2026-01,29,3,66672.24
2026-01,30,3,35810.83
2026-01,31,3,80396.13
2026-01,32,2,81104.62
2026-01,33,1,58991.93
2026-01,34,3,60787.49
2026-01,35,5,43253.79
2026-01,36,1,80229.36
2026-01,37,5,79277.79
2026-01,38,5,67950.32
2026-01,39,2,45915.67
2026-01,40,4,38586.8
2026-01,41,1,80104.37
2026-01,42,4,99071.95
2026-01,43,4,40962.01
2026-01,44,2,44815.86
2026-01,45,1,69705.98
2026-01,46,5,35158.14
2026-01,47,3,61727.0
2026-01,48,5,76184.35
2026-01,49,4,56828.2
2026-01,50,4,101138.89
2026-01,51,4,86280.76
2026-01,52,1,78476.18
2026-01,53,2,39948.84
2026-01,54,3,89219.1
2026-01,55,3,91255.62
2026-01,56,1,69595.45
2026-01,57,3,78778.3
2026-01,58,1,52375.74
2026-01,59,4,97739.94
2026-01,60,4,64689.87
2026-02,1,1,66651.42
2026-02,2,4,53983.41
2026-02,3,4,47104.87
2026-02,4,3,81251.96
2026-02,5,3,78259.53
2026-02,6,5,64646.09
2026-02,7,1,78935.96
2026-02,8,4,71604.0
2026-02,9,2,81044.09
2026-02,10,1,45847.98
2026-02,11,3,74060.4
2026-02,12,5,82911.82
2026-02,13,4,88919.81
2026-02,14,4,88346.92
2026-02,15,4,42778.83
2026-02,16,4,85155.96
2026-02,17,3,41329.42
2026-02,18,1,67194.74
2026-02,19,5,62198.27
2026-02,20,3,73231.34
2026-02,21,3,67036.71
2026-02,22,2,38701.79
2026-02,23,1,55632.78
2026-02,24,5,39389.77
2026-02,25,4,79134.47
2026-02,26,4,47956.69
2026-02,27,3,81686.06
2026-02,28,5,68687.74
2026-02,29,3,66871.15
2026-02,30,3,37818.2
2026-02,31,3,75052.71
2026-02,32,2,78077.05
2026-02,33,1,65411.14
2026-02,34,3,66794.17
2026-02,35,5,36707.2
2026-02,36,1,96124.99
2026-02,37,5,69228.06
2026-02,38,5,70124.38
2026-02,39,2,46924.33
2026-02,40,4,43546.46
2026-02,41,1,89351.77
2026-02,42,4,88784.43
2026-02,43,4,34127.58
2026-02,44,2,45443.9
2026-02,45,1,85279.59
2026-02,46,5,37000.27
2026-02,47,3,56920.91
2026-02,48,5,71122.08
2026-02,49,4,60180.06
2026-02,50,4,100482.98
2026-02,51,4,79165.71
2026-02,52,1,91954.34
2026-02,53,2,41082.37
2026-02,54,3,74110.02
2026-02,55,3,93775.31
2026-02,56,1,60584.37
2026-02,57,3,79164.99
2026-02,58,1,52618.9
2026-02,59,4,82645.79
2026-02,60,4,59024.5
2026-03,1,1,60186.48
2026-03,2,4,60352.59
2026-03,3,4,47401.15
2026-03,4,3,81416.5
2026-03,5,3,85878.69
2026-03,6,5,79783.34
2026-03,7,1,64532.78
2026-03,8,4,75324.5
2026-03,9,2,84280.97
2026-03,10,1,39869.33
2026-03,11,3,75835.42
2026-03,12,5,88471.11
2026-03,13,4,87078.13
2026-03,14,4,90456.13
2026-03,15,4,39956.31
2026-03,16,4,68299.98
2026-03,17,3,41918.25
2026-03,18,1,64354.78
2026-03,19,5,65713.5
2026-03,20,3,63615.19
2026-03,21,3,72410.29
2026-03,22,2,38731.11
2026-03,23,1,49656.42
2026-03,24,5,46214.74
2026-03,25,4,80990.58
2026-03,26,4,50572.82
2026-03,27,3,79825.98
2026-03,28,5,62833.99
2026-03,29,3,56185.37
2026-03,30,3,44399.81
2026-03,31,3,84718.95
2026-03,32,2,83586.95
2026-03,33,1,62670.74
2026-03,34,3,61687.69
2026-03,35,5,38543.8
2026-03,36,1,85722.91
2026-03,37,5,63885.94
2026-03,38,5,72523.83
2026-03,39,2,45287.6
2026-03,40,4,38986.04
2026-03,41,1,78591.48
2026-03,42,4,83433.88
2026-03,43,4,42961.32
2026-03,44,2,41093.2
2026-03,45,1,73923.14
2026-03,46,5,39465.12
2026-03,47,3,62718.71
2026-03,48,5,71519.68
2026-03,49,4,60319.88
2026-03,50,4,90695.49
2026-03,51,4,88799.64
2026-03,52,1,83106.46
2026-03,53,2,44387.56
2026-03,54,3,90219.71
2026-03,55,3,81804.58
2026-03,56,1,68802.79
2026-03,57,3,88813.96
2026-03,58,1,45833.31
2026-03,59,4,92156.95
2026-03,60,4,61322.42
2026-04,1,1,58705.47
2026-04,2,4,59460.4
2026-04,3,4,50425.62
2026-04,4,3,76042.62
2026-04,5,3,75292.02
2026-04,6,5,70015.91
2026-04,7,1,77264.98
2026-04,8,4,80796.81
2026-04,9,2,78767.58
2026-04,10,1,47783.35
2026-04,11,3,82812.48
2026-04,12,5,74832.84
2026-04,13,4,80177.64
2026-04,14,4,88029.2
2026-04,15,4,37369.48
2026-04,16,4,69089.58
2026-04,17,3,40405.38
2026-04,18,1,56924.39
2026-04,19,5,60134.15
2026-04,20,3,68243.93
2026-04,21,3,76848.68
2026-04,22,2,37558.9
2026-04,23,1,57685.42
2026-04,24,5,39154.73
2026-04,25,4,72999.8
2026-04,26,4,51206.92
